"team","conference","inTourney","apRank","usaTodayRank"
"stony-brook-seawolves","america-east",0,NA,NA
"vermont-catamounts","america-east",0,NA,NA
"boston-university-terriers","america-east",0,NA,NA
"hartford-hawks","america-east",0,NA,NA
"albany-great-danes","america-east",1,NA,NA
"maine-black-bears","america-east",0,NA,NA
"new-hampshire-wildcats","america-east",0,NA,NA
"umbc-retrievers","america-east",0,NA,NA
"binghamton-bearcats","america-east",0,NA,NA
"saint-louis-billikens","atlantic-10",1,13,13
"virginia-commonwealth-rams","atlantic-10",1,NA,23
"butler-bulldogs","atlantic-10",1,NA,NA
"la-salle-explorers","atlantic-10",1,NA,NA
"temple-owls","atlantic-10",1,NA,NA
"massachusetts-minutemen","atlantic-10",0,NA,NA
"xavier-musketeers","atlantic-10",0,NA,NA
"charlotte-49ers","atlantic-10",0,NA,NA
"saint-joseph's-hawks","atlantic-10",0,NA,NA
"richmond-spiders","atlantic-10",0,NA,NA
"dayton-flyers","atlantic-10",0,NA,NA
"st.-bonaventure-bonnies","atlantic-10",0,NA,NA
"george-washington-colonials","atlantic-10",0,NA,NA
"rhode-island-rams","atlantic-10",0,NA,NA
"fordham-rams","atlantic-10",0,NA,NA
"duquesne-dukes","atlantic-10",0,NA,NA
"miami-(fl)-hurricanes","acc",1,5,4
"duke-blue-devils","acc",1,6,7
"north-carolina-tar-heels","acc",1,NA,NA
"north-carolina-state-wolfpack","acc",1,NA,NA
"virginia-cavaliers","acc",0,NA,NA
"florida-state-seminoles","acc",0,NA,NA
"maryland-terrapins","acc",0,NA,NA
"boston-college-eagles","acc",0,NA,NA
"georgia-tech-yellow-jackets","acc",0,NA,NA
"wake-forest-demon-deacons","acc",0,NA,NA
"clemson-tigers","acc",0,NA,NA
"virginia-tech-hokies","acc",0,NA,NA
"mercer-bears","atlantic-sun",0,NA,NA
"florida-gulf-coast-eagles","atlantic-sun",1,NA,NA
"stetson-hatters","atlantic-sun",0,NA,NA
"usc-upstate-spartans","atlantic-sun",0,NA,NA
"jacksonville-dolphins","atlantic-sun",0,NA,NA
"northern-kentucky-norse","atlantic-sun",0,NA,NA
"north-florida-ospreys","atlantic-sun",0,NA,NA
"east-tennessee-state-buccaneers","atlantic-sun",0,NA,NA
"lipscomb-bisons","atlantic-sun",0,NA,NA
"kennesaw-state-owls","atlantic-sun",0,NA,NA
"kansas-jayhawks","big-12",1,3,3
"kansas-state-wildcats","big-12",1,12,14
"oklahoma-state-cowboys","big-12",1,17,19
"iowa-state-cyclones","big-12",1,NA,NA
"oklahoma-sooners","big-12",1,NA,NA
"baylor-bears","big-12",0,NA,NA
"texas-longhorns","big-12",0,NA,NA
"west-virginia-mountaineers","big-12",0,NA,NA
"texas-tech-red-raiders","big-12",0,NA,NA
"tcu-horned-frogs","big-12",0,NA,NA
"louisville-cardinals","big-east",1,2,2
"georgetown-hoyas","big-east",1,8,8
"marquette-golden-eagles","big-east",1,15,16
